Title,Company,Application link
"Analyst, Credit Risk Management | Corporate Bank",Robert Walters,https://hk.indeed.com/rc/clk?jk=01a0a0bf024b65d1&fccid=f01c2f55ec3054bf&vjs=3
"Vice President, Credit Analyst",Mega Jobs,https://hk.indeed.com/rc/clk?jk=ffdfb909d6540b05&fccid=6fd18c15329991b0&vjs=3
"Investment Risk Analyst, Asset Management",Randstad,https://hk.indeed.com/rc/clk?jk=701158fda6f019a8&fccid=f8b265243da9f9d7&vjs=3
Contract Business / Financial Analyst,AA Choice Personnel Consultancy Limited,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcyc0Lgim9-1yVGZDTOfWCtbDPSAeHQWxuAzRRLZFelcjSNfK9hz2peEiANRKBkl9DjodDP_aZUmO66LRHd0eBBgI2uujRCeiPV5zlu2wXSlnBIGx4eKoKXl9NOrqZQEsclUK4ZFxCcrAfw-RN8b1ExLLymwNDiwx17RZE-h00l8bW06iu0rXQOWL6yIx6h1ztYepUcsdCTySCPpGDHd1kpAIsc1KedfBesJqjY43UIGyEmjOQLHNWF53lnRqdbDnrWM_TJZWo0sFNorHRAilCiXYssD_JiTMeg63Ki4Cxswp8SmzpL4B0B4WD-iHdvYwNHlIoWJq7xt1-bQeAjnbjccnRrkg-S-ur6GJjcDv4qV-aA7Ts1LRkZBwqdOBrsDLnRhV-rpGyZ3f6-f_7-_vZVR6DvW98iMYDokLnDCwK1PRKay8fXAAzL4dVvv_4ujDxe95Q0eoTfJ73G8voYbWX1cvl-4K8tHA1IMJcn8z2vaVlcsh5VNWUBNyP3uePc4MbboNsmz3AaZIVpt4f7VDsBffh6c5aRKMEx3s8B78u-U69_Mw02miYqwWwaetZBHiwk0lN84I_9bvL3f9Kg58qOlYIn5lR2_NXqy-UQMOE8zbpSKc23F3v2gMDjucKrgyDJHrifvxXm60GLuKqsxOIIE&p=14&fvj=0&vjs=3
"Credit Risk Analyst, Unsecured Portfolio & Loss Recognition...",PrimeCredit Limited,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bczw7F7Ph1PIedxAYkzav6Qt0vyDEN4FNu72DLweoAHZoBmvLCNpiAymblQ62iYfRnltQq-qKZfwaXI07Sp8zWSSYCp8Moe5ZgV9MKWdeqQ3--xiH-CJyLTPIucwjTp40k35G93Uopd59XLbHJ62asVHm4v-eQxqyF6wNrCRd4B4D_uhjmF3x931RKMp5AqafKlA-BJqF5_BppMtl4pvVbccCh3xCMXmiK2apsht_iim79AHv9SQSrRz5dpKPg7EIF3Qh4ddteorg8blPuFEE2ueSewCPbDCR4xD2vUs4CP0tuJW7p_IQjNcqoQgsNpB0AUT36ITI25kmAFlODlKfVFXbCpb5rgYNIpWIXBCUhqDWp6NrsU2Bn17nBsjmUvtaOq94t3fFWDaaIvX-vLCSQp6S39b3WViOJwiuZxM0JWup6inBQmpuBZdWDwUeXAIbLHJPTv_0f7LOYZfVjfRDAaRsvVCvo9u_zKF2aFf2f5qaEa9qiM9YZ89PpYZF4V4GoXAPofPzpc_Rgs3SdIRxDn5yNynEAy3YJzy-OJ84Epo0ROe3VuDLVzkAjh10aQ6Rv3odQO8aRop8A9SoMWMMQzySYm_iQmN_Lv1LWH_MRDWLXIBeaLA_uMDc0mwhxHX3aiJz__QRRO53vJZYJd00jP7Cr8K1sUtGjk=&p=0&fvj=0&vjs=3
Financial Analyst,Ping An Bank Company Ltd.,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcyc0Lgim9-1yVdab_N8py0QleCRjhxMyu_kgSCx6ULh1bnrAliOCXe1NS-h9uIZzS27eY23lz66YAHagf4Xq816TUdU2CUjucwf-AiaDH2BnQoFsj7WrqGYpnCFqw3itfmF055ONbsGo8pxeNEPYJ0Q_ixTgagfkYpqNnVRjvvjeDeKpPnq4DZNo62BkW996C7ZJnWyRD2V1dsBDQCep7821OuM-nkmsIjvT19ybRzWAbspgfOT7KUDhJ4S4_z1TgGf7fyTXTIJUlU4-FkYIORhuL98pi3bjl1QT0V8nIfmvKv7tmZGyu9WORESC_SJuHkeYkzj7M3JEKb7OShiP-Hpo2sF1tXaaI8LH9JEhkD6M748cAH65a0142F1QvRDxiCZQogiiq83ANUp0QJbu5a3dPUJ_qQmODgp40KITd9hl0cpnjjoDBxX2UwPQV_SnH2u6R7upDUwpQNCRCSgbgtt9XUP9Rk7SMJKUwR25qlibqA_XWzZ05UcY4V_J9Z3yLc_XzCaMyOVBHb9uFYhs0FmJcymrmAa6vXn-U_jjgAARg3BKzrex0M3Gk5D-qbVb-12NyeW1YQr93QmePnfDFiZQMK1sXnWVHTHhwxH81O_iGjhVURqTlvY6ATnizzKLdvN3Lz7O0l3DbMTzTcyhNMP&p=1&fvj=0&vjs=3
Financial Analyst,Chinachem Agencies Ltd,https://hk.indeed.com/rc/clk?jk=8f38ddf10ff65a31&fccid=adc0a74b0ea94d53&vjs=3
"System Analyst, Financial Consolidation & Control",Shangri-La International Hotel Management Limited,https://hk.indeed.com/rc/clk?jk=cbaff2e2749716b9&fccid=8d6a364e33912751&vjs=3
Analyst/ Associate - Investment,KOS International Limited,https://hk.indeed.com/rc/clk?jk=d10307782aaa4216&fccid=aa207b9300cdbd0f&vjs=3
Contract Actuarial Analyst / Senior Analyst (Participating f...,AXA,https://hk.indeed.com/rc/clk?jk=353e066787c5f419&fccid=753062d67d31c43a&vjs=3
